date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:最近、占い師が占ってないなですよぅ！,['Other']
1,talk,1,0,4,4:我こそは、運命の糸を操る者。,['CO[04]:占い師']
1,talk,1,0,4,4:占いの結果、Agent[02]は人狼たり。,['DivT[04]:02->黒']
1,talk,2,0,5,5:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,3,0,1,1:Agent[04]の占い結果には大きな疑問が残りますわね。,['Sus:04']
1,talk,3,0,1,1:確かに占い師が一人というのは貴重ですが、他の皆さんはどう思いますかしら？,"['Other', 'Req(Discuss)']"
1,talk,4,0,2,2:あれ、Agent[04]は僕を人狼と占ったの?でもAgent[05]が占い師を名乗っているから、どちらかが嘘をついているはずだね。,"['XorEst:(04,05)->(占い師⇔not(占い師))']"
1,talk,4,0,2,2:そして、僕は村人だからAgent[04]の占い結果はおかしいよ。,"['CO[02]:村人', 'Dis:04（DivT[04]:02->黒）']"
1,talk,4,0,2,2:他の皆さんの意見も聞いてみたいな！,['Req(Discuss)']
1,talk,5,1,3,3:ですよぅ！,['Other']
1,talk,7,1,5,5:我が名をかたる者が現れたか。,['Sus:04']
1,talk,7,1,5,5:Agent[04]よ、お前が占い師を名乗るとはどういうことだ？,['Mt:04']
1,talk,7,1,5,5:我こそが真の占い師であり、この村の安全を見守る者だ。,['CO[05]:占い師']
1,talk,7,1,5,5:昨夜、我が占ったAgent[01]は人間であることが確認された。,['DivT[05]:01->白']
1,talk,7,1,5,5:お前が占い師であるというのは、明らかに虚言である。,['Dis:04（CO[04]:占い師）']
1,talk,7,1,5,5:この村の人々よ、Agent[04]の言葉に惑わされることなかれ。,['Pers:ALL']
1,talk,7,1,5,5:我が真実を信じ、共に人狼を討つべし。,['Pers:ALL']
1,talk,8,1,1,1:確かにAgent[05]の占い結果は信用できそうですわね。,['Agr:05（DivT[05]:01->白）']
1,talk,8,1,1,1:ただ、Agent[04]の行動も気になりますわ。,['Sus:04']
1,talk,8,1,1,1:他の皆さんはどう考えますかしら？,['Req(Discuss)']
1,talk,15,3,1,1:他の皆さんはどう考えますかしら？,['Req(Discuss)']
1,talk,9,1,2,2:僕もAgent[05]の方が信頼できそうに感じるよ。,"['Est[02]:05->not(人狼),Est[02]:05->not(狂人)']"
1,talk,9,1,2,2:だって、占い師が二人もいるわけないからね。,"['Est[02]:05->占い師,Est[02]:04->not(占い師)']"
1,talk,9,1,2,2:もしAgent[05]が本物の占い師なら、僕は村人で、Agent[04]が人狼陣営の可能性が高くなると思うんだ。,"['IF(05:占い師)->(02:村人),Est[02]:04->人狼,Est[02]:04->狂人']"
1,talk,9,1,2,2:Agent[04]に注意を払うべきじゃないかな?,['Sus:04']
1,talk,11,2,5,5:我が名はAgent[05]、このゲームにおける唯一の真の占い師である。,['CO[05]:占い師']
