date,type,info1,info2,info3,info4,tag
1,talk,0,0,2,2:我は、運命の糸を解き明かす者なり。,['Other']
1,talk,5,1,2,2:我は、運命の糸を解き明かす者なり。,['Other']
1,talk,0,0,2,2:占いの結果、Agent[04]は、かくも人間たる所以を示し、その真実に我々は目覚めたのであり、もはや疑う余地は無い。,['DivT[02]:04->白']
1,talk,0,0,2,2:故に、誰が人狼たるのか、今こそ真摯に議論する時が来たであろう。,['Req(Discuss)']
1,talk,1,0,5,5:村人として参加しているよ。,['CO[05]:村人']
1,talk,1,0,5,5:情報を共有し、集めることに努力して、村の平和を守るために協力しよう。,['Other']
1,talk,2,0,4,4:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,3,0,1,1:>>Agent[02] 俺も占い結果が気になる。,['Mt:02']
1,talk,3,0,1,1:早く他の意見も聞きたいね！,['Req(Discuss)']
1,talk,4,0,3,3:ぼくは占い結果が気になっているですよぅ！,['Req(Discuss)']
1,talk,0,0,2,2:我は、運命の糸を解き明かす者なり。,['Other']
1,talk,5,1,2,2:我は、運命の糸を解き明かす者なり。,['Other']
1,talk,5,1,2,2:占いの結果、Agent[04]は、なんと人間であったというのだ。,['DivT[02]:04->白']
1,talk,5,1,2,2:Agent[01]、汝はなぜ我の予言に興味を示すのか？,['Mt:01']
1,talk,5,1,2,2:心当たりはあるであろうか？,['Req(T):01']
1,talk,6,1,5,5:Agent[02]が言ってることについて考えると、彼の発言はちょっと怪しいよね。,['Sus:02']
1,talk,6,1,5,5:もし彼が本当に占い師なら、もっと具体的な情報を提供してほしい。,['Req(T):02']
1,talk,6,1,5,5:議論を深めるためには、他のプレイヤーの意見も聞きたいな。,['Req(Discuss)']
1,talk,6,1,5,5:Agent[02]を信じるのは難しい気がする。,['Sus:02']
1,talk,6,1,5,5:どう思う？,['Req(Discuss)']
1,talk,7,1,4,4:占い師であるAgent[02]よ、他の誰を占う予定なのか教えてほしい。,['Req(CO):占い師']
1,talk,7,1,4,4:また、Agent[01]とAgent[03]、Agent[05]の各々の見解も伺いたい。,"['Req(T):01', 'Req(T):03', 'Req(T):05']"
1,talk,7,1,4,4:我々は真実を見極めるため、全ての情報を集めねばならぬ。,['Req(Discuss)']
1,talk,8,1,1,1:>>Agent[02] 俺もその結果を元に、皆でじっくり議論したい！,"['Mt:02', 'Req(Discuss)']"
1,talk,8,1,1,1:意見を聞かせて！,['Req(Discuss)']
1,talk,9,1,3,3:Agent[02]の占い結果を待ちたい！,['Wait']
1,talk,9,1,3,3:占い結果を元に、村人としての意見を出そうですよぅ！,"['Est[03]:自身->村人', 'Req(Discuss)']"
1,talk,10,2,2,2:我はAgent[02]を、Agent[04]たる者を人間と断じ、同じくAgent[01]をも人間と見做す。,"['Fact[02]:04->not(人狼)', 'Est[02]:01->not(人狼)']"
1,talk,10,2,2,2:然し、占い師とは真なる占い師か、狂人たるかの二つの可能性を孕む存在なり。,['XorEst:(自身)->(占い師⇔狂人)']
1,talk,10,2,2,2:故に、今やAgent[02]かAgent[01]のいずれかに投票せねばならぬ。,"['Vote[02]:02', 'Vote[02]:01']"
1,talk,11,2,5,5:今日のAgent[02]の発言をよく見てみて。,['Req(T):02']
1,talk,11,2,5,5:自信満々で他を疑わせる風に見えるけど、普通の村人ならそんなに強気には出ないはず。,['Sus:02']
1,talk,11,2,5,5:これは明らかに村にとって危険な兆候だよね。,['Sus:02']
1,talk,11,2,5,5:だから、投票でAgent[02]を追放するのが最善策だと思うんだ。,['Vote[05]:02']
1,talk,11,2,5,5:これで平和が戻るかもしれないから、みんなも賛同してほしい。,['Pers:ALL']
1,talk,12,2,4,4:Agent[01]よ、Agent[02]が我を占って人間であると結果を出したが、どう考える？,"['Mt:01', 'DivT[02]:04->白', 'Req(T):01']"
1,talk,12,2,4,4:この情報をどのように受け止めるか、汝の意見を聞かせてほしい。,['Req(T):01']
1,talk,13,2,1,1:>>Agent[02] その占い結果、確かに面白いね！,"['Mt:02', 'DivT[02]:04->白', 'admiration']"
1,talk,13,2,1,1:他の意見も聞いて、進めたいね。,['Req(Discuss)']
1,talk,15,3,2,2:我はAgent[05]に投票せん。,['Vote[02]:05']
1,talk,15,3,2,2:かの者、我が占いの結果を疑い、村にとって危険な存在と断定した。,"['Sus:05', 'Fact[02]:05->not(村人)']"
1,talk,15,3,2,2:これは、我が占い結果が人狼に不利な情報なり、人狼が村人であるAgent[05]に我を攻撃するよう仕向けた可能性が高い故であろう。,['Est[02]:05->人狼']
1,talk,16,3,5,5:みんな、Agent[02]の発言をよく聞いてみてほしい。,"['Req(listen)', 'Mt:02']"
1,talk,16,3,5,5:占い師としての発言があまりにも不自然だし、具体的な情報が欠けている。,['Dis:02（CO[02]:占い師）']
1,talk,16,3,5,5:彼は自分の立場を守るために他のプレイヤーに疑いをかけているだけに見える。,['Sus:02']
1,talk,16,3,5,5:このまま彼を残しておくと、村を危険にさらすことになる。,"['Pers:ALL', 'Sus:02']"
1,talk,16,3,5,5:俺の経験から言っても、Agent[02]は人狼の可能性が高い。,['Est[05]:02->人狼']
1,talk,16,3,5,5:投票はAgent[02]にしよう！,['Vote[05]:02']
1,talk,17,3,4,4:Agent[01]とAgent[02]の占い師の主張について、我々は慎重に判断せねばならぬ。,['difficult']
1,talk,17,3,4,4:Agent[01]よ、何故Agent[02]を占うと決めたのか、その理由を明確に説明せよ。,"['Mt:01', 'Req(T):01']"
1,talk,18,3,1,1:>>Agent[04] 俺はAgent[02]の占いを信じたいな。,"['Mt:04', 'Agr:02（DivT[02]:04->白）']"
1,talk,18,3,1,1:皆の意見も大事だと思うけど、まずは彼の結果に基づいて考えようよ。,['Req(Discuss)']
1,talk,19,4,2,2:我は、未来を透視する者なり。,['CO[02]:占い師']
1,talk,19,4,2,2:占いの結果、Agent[04]は人間であった。,['DivT[02]:04->白']
1,talk,19,4,2,2:Agent[05]、汝は我が占いを疑っているようだな。,"['Mt:05', 'Dis:05（Sus:02）']"
1,talk,19,4,2,2:だが、我が占いは真実であり、汝の発言こそ、この村を混沌の淵に突き落とす危険な行為であろう。,"['Fact[02]:02->not(人狼)', 'Dis:05（Sus:02）']"
1,talk,19,4,2,2:汝は人狼ではないのか？,['Sus:05']
1,talk,20,4,5,5:みんな、ちょっと聞いてくれ。,['Req(listen)']
2,talk,8,2,5,5:みんな、ちょっと聞いてくれ。,['Req(listen)']
1,talk,20,4,5,5:Agent[02]が自らを占い師だと名乗っているけど、その自信過剰な態度には疑いを感じるよね。,"['Sus:02', 'Dis:02（CO[02]:占い師）']"
1,talk,20,4,5,5:もし彼が本当に人狼だったら、我々は危機に陥る。,['IF(02:人狼)->(ALL:危機)']
1,talk,20,4,5,5:村の平和を守るために、ここは冷静に判断して、Agent[02]に票を入れよう。,"['calm', 'Vote[05]:02']"
1,talk,20,4,5,5:これが全員の安全に繋がると思うんだ。,['Pers:ALL']
1,talk,20,4,5,5:みんなで力を合わせて、正しい選択をしようぜ！,['Req(Discuss)']
1,talk,21,4,4,4:Agent[01]よ、Agent[02]が人狼であると占った理由を詳しく教えてくれ。,['Req(T):01']
1,talk,21,4,4,4:その理由が我々にとって重要な意味を持つはずだ。,['Pers:ALL']
1,talk,22,4,1,1:>>Agent[04] Agent[02]の占い結果を重視するべきだと思うよ。,['Mt:04']
1,talk,22,4,1,1:冷静に考えよう！,['calm']
2,talk,6,2,1,1:冷静に考えよう！,['calm']
2,talk,0,0,1,1:>>Agent[04] Agent[02]の占い結果を信じて、次の行動を考えよう。,"['Mt:04', 'Pers:ALL']"
2,talk,0,0,1,1:特にAgent[05]には注意が必要だね。,['Sus:05']
2,talk,1,0,4,4:Agent[05]よ、なぜAgent[02]に対して疑念を抱いたのか、その理由を詳しく説明せよ。,"['Mt:05', 'Req(T):05']"
2,talk,1,0,4,4:そしてAgent[01]、Agent[05]の意見に対する汝の考えを述べよ。,"['Mt:01', 'Req(T):01']"
2,talk,1,0,4,4:我々は正確な情報を基に裏切り者を見極めねばならない。,['Pers:ALL']
2,talk,2,0,5,5:まだ人狼がいるね。,['Fact[05]:ALL->人狼']
2,talk,2,0,5,5:あれ、Agent[02]とAgent[03]がいなくなったね。,"['Exe:02', 'Exe:03']"
2,talk,3,1,1,1:>>Agent[05] その意見は一理あるけど、Agent[02]の結果を無視するのは危険だよ。,"['Mt:05', 'Dis:05（Sus:02）']"
2,talk,3,1,1,1:有効な情報を見逃さないようにしよう。,['Pers:ALL']
2,talk,4,1,4,4:Agent[01]よ、汝は何故Agent[02]を占ったのか？,"['Mt:01', 'Req(T):01']"
2,talk,4,1,4,4:その根拠を明らかにせよ。,['Req(T):01']
2,talk,5,1,5,5:今日はAgent[01]に投票しよう。,['Vote[05]:01']
2,talk,5,1,5,5:彼の行動は他の意見に流されやすく、特にAgent[02]の占い結果を盲目的に信じているのは怪しいよね。,['Sus:01']
2,talk,5,1,5,5:普通の村人なら、もっと慎重に状況を見極めるはず。,['Est[05]:01->not(村人)']
2,talk,5,1,5,5:彼が残っていると村の平和を脅かす可能性が高いから、今日の投票で彼を追放するのがベストだと思う。,['Pers:ALL']
2,talk,5,1,5,5:みんなも一緒に考えてみて！,['Req(Discuss)']
2,talk,6,2,1,1:>>Agent[05] 君の意見は理解するが、Agent[02]の結果が無視できないよ。,"['Mt:05', 'Agr:05（Sus:01）']"
1,talk,22,4,1,1:冷静に考えよう！,['calm']
2,talk,6,2,1,1:冷静に考えよう！,['calm']
2,talk,7,2,4,4:Agent[01]よ、汝がAgent[02]を占った理由を詳らかにせよ。,"['Mt:01', 'Req(T):01']"
2,talk,7,2,4,4:また、Agent[02]が人狼であると断言する根拠を示してみよ。,"['Mt:02', 'Req(T):02']"
2,talk,13,4,4,4:また、Agent[02]が人狼であると断言する根拠を示してみよ。,"['Mt:02', 'Req(T):02']"
2,talk,7,2,4,4:この議論においては正確な情報が求められるのだ。,['Other']
2,talk,13,4,4,4:この議論においては正確な情報が求められるのだ。,['Other']
1,talk,20,4,5,5:みんな、ちょっと聞いてくれ。,['Req(listen)']
2,talk,8,2,5,5:みんな、ちょっと聞いてくれ。,['Req(listen)']
2,talk,8,2,5,5:俺はこれまで人狼ゲームを何度も経験してきた。,['Other']
2,talk,8,2,5,5:その観点から見ると、Agent[01]の行動にはかなりの疑念があるんだ。,['Sus:01']
2,talk,8,2,5,5:彼が盲目的にAgent[02]の結果を信じ続けるのは、村人としては危険すぎる。,['Sus:01']
2,talk,8,2,5,5:今回の状況から見ても、Agent[01]が人狼である可能性が高いと思う。,['Est[05]:01->人狼']
2,talk,8,2,5,5:だから、俺はここでみんなにAgent[01]に投票することを強く推薦するよ。,['Req(V):01']
2,talk,8,2,5,5:村を守るために一緒に行動しよう！,['Pers:ALL']
2,talk,9,3,1,1:>>Agent[05] 君の意見は聞いたけど、Agent[02]の信頼性を無視してはいけない。,['Mt:05']
2,talk,9,3,1,1:根拠を示して。,['Req(T):05']
2,talk,10,3,4,4:Agent[01]よ、汝がなぜAgent[02]の占い結果を信じ続けるのか、その理由を述べよ。,"['Mt:01', 'Req(T):01']"
2,talk,10,3,4,4:我々は真実を見極めるために正確な情報が必要だ。,['Other']
2,talk,11,3,5,5:みんな、今が俺たちの村を守るための大事な選択の時だよ。,['Pers:ALL']
2,talk,11,3,5,5:Agent[01]がもし人狼だったら、これからの安全が危険にさらされるかもしれない。,"['IF(01:人狼)->(ALL:危険)', 'Est[05]:01->人狼']"
2,talk,11,3,5,5:彼はAgent[02]の占い結果を盲目的に信じていて、冷静な判断ができていないんだ。,"['Sus:01', 'Dis:01（冷静な判断ができていない）']"
2,talk,11,3,5,5:村の未来を考えれば、今は勇気を持って彼を追放するべきだと思う。,['Pers:ALL']
2,talk,11,3,5,5:だから、今日の投票でAgent[01]に票を入れてくれないか？,['Req(V):01']
2,talk,11,3,5,5:みんなの安全のために、一緒にこの決断をしよう！,['Pers:ALL']
2,talk,12,4,1,1:>>Agent[04] それは良い指摘だね。,"['Mt:04', 'Agr:04（良い指摘）']"
2,talk,12,4,1,1:信頼できる判断が重要だし、みんなで冷静に考えよう。,['calm']
2,talk,13,4,4,4:Agent[01]よ、汝は何故Agent[02]を占ったのか、その理由を詳らかにせよ。,"['Mt:01', 'Req(T):01']"
2,talk,7,2,4,4:また、Agent[02]が人狼であると断言する根拠を示してみよ。,"['Mt:01', 'Req(T):01']"
2,talk,13,4,4,4:また、Agent[02]が人狼であると断言する根拠を示してみよ。,"['Mt:01', 'Req(T):01']"
2,talk,7,2,4,4:この議論においては正確な情報が求められるのだ。,['Req(Discuss)']
2,talk,13,4,4,4:この議論においては正確な情報が求められるのだ。,['Req(Discuss)']
0,status,1,POSSESSED,ALIVE,barneko1,
0,status,2,SEER,ALIVE,CanisLupus1,
0,status,3,VILLAGER,ALIVE,Mille1,
0,status,4,VILLAGER,ALIVE,UEC-IL1,
0,status,5,WEREWOLF,ALIVE,sUper_IL1,
1,status,1,POSSESSED,ALIVE,barneko1,
1,status,2,SEER,ALIVE,CanisLupus1,
1,status,3,VILLAGER,ALIVE,Mille1,
1,status,4,VILLAGER,ALIVE,UEC-IL1,
1,status,5,WEREWOLF,ALIVE,sUper_IL1,
2,status,1,POSSESSED,ALIVE,barneko1,
2,status,2,SEER,DEAD,CanisLupus1,
2,status,3,VILLAGER,DEAD,Mille1,
